rps cpu_limit req_rate req_latency cpu cpu0 cpu1 cpu2 cpu3 cpu4 cpu5 cpu6 cpu7 cpu8 cpu9 cpu10 cpu11 cpu12 cpu13 cpu14 cpu15 memory_usage cpu_no_model
1 4 1.0351 0.43 60.2 0.0 0.0 9.5 0.0 0.1 0.0 12.1 0.0 4.6 6.6 0.0 4.5 5.8 12.4 0.0 4.6 2.413393e-08 0.3
1 6 1.0354 0.38 45.7 0.0 1.6 2.2 0.0 0.0 0.0 6.7 4.9 5.4 3.2 1.4 7.7 2.5 7.5 0.0 2.6 2.413360108e-08 0.2
1 8 1.0353 0.33 25.1 0.1 3.7 1.8 2.0 1.5 3.6 2.3 3.6 3.7 0.1 2.2 2.1 2.2 0.0 1.2 0.0 2.4135592e-08 0.15
1 9 1.0357 0.39 52.7 2.3 2.7 1.9 3.4 2.5 2.2 5.4 4.8 3.8 3.8 4.6 3.9 4.1 4.7 1.5 1.1 2.4135592e-08 0.2
1 12 1.035 0.35 48.2 2.2 3.3 2.5 4.4 2.3 2.8 3.5 3.5 3.2 3.3 3.6 2.4 3.4 2.1 3.4 2.3 2.4137346e-08 0.18
1 15 1.035 0.3 25.0 12.5 0.0 10.0 0.0 1.0 1.3 0.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.4139083e-08 0.1
5 4 2.4734 0.45 86.4 0.3 0.0 0.0 11.9 4.7 20.6 0.0 0.0 3.8 24.4 0.0 0.0 0.0 0.0 0.0 20.7 2.4196638e-08 0.7
5 6 2.8391 0.40 80 3.5 4.9 0.9 3.9 7.4 7.4 6.6 6.6 9.7 5.1 10.1 2.1 3.4 3.8 1.9 0.7 2.41883142e-08 0.6
5 8 3.5102 0.37 77.4 0.0 7.1 1.8 5.3 5.9 7.5 12.4 9.4 9.4 2.4 7.6 4.1 3.6 1.9 0.0 0.0 2.416978e-08 0.5
5 9 2.6540 0.41 71.3 1.1 1.2 1.6 2.3 2.3 3.8 4.4 5.8 9.7 7.0 6.2 6.3 6.5 5.6 5.1 2.4 2.4190332e-08 0.4
5 12 2.801 0.39 70.1 2.2 4.2 4.0 4.1 3.7 4.7 4.5 5.3 6.7 5.0 5.1 4.7 4.5 4.7 4.1 3.6 2.4192230e-08 0.3
5 15 2.954 0.34 68.1 4.8 4.9 4.8 4.7 4.5 4.7 4.2 4.7 4.7 4.4 4.5 4.9 4.7 4.6 4.4 4.2 2.4189455e-08 0.2
10 4 2.424 0.49 87.4 2.4 6.6 6.8 0.2 10.5 0.0 0.5 4.0 14.0 1.2 3.9 1.5 13.8 0.0 12.3 7.7 2.433499e-08 1.7
10 6 2.897 0.45 81.3 3.1 5.3 4.3 3.5 10.2 6.5 0.0 1.9 4.2 5.2 6.1 2.1 0.6 3.4 16.2 7.7 2.4326144e-08 1.2
10 8 3.329 0.41 78.0 3.6 0.9 2.0 5.1 5.9 11.2 8.0 6.2 5.7 8.3 7.2 4.2 3.3 0.0 2.3 3.1 2.4309365e-08 0.8
10 9 2.662 0.43 73.5 1.3 1.4 2.3 3.0 4.8 4.2 4.9 6.9 7.9 7.8 6.0 5.5 4.7 5.1 4.6 2.1 2.4338002e-08 1.1
10 12 2.77 0.41 73.1 2.3 3.9 3.5 4.5 4.8 5.0 5.0 5.3 6.6 4.9 5.2 5.1 4.5 4.7 4.6 4.2 2.4336490e-08 0.9
10 15 3.07 0.38 70.5 4.9 5.2 4.4 4.6 4.5 4.3 4.7 4.9 4.9 4.6 4.7 4.7 4.8 4.7 4.9 4.7 2.4324738982321278e-08 0.8
15 4 2.44 0.52 88.0 0.2 8.2 2.1 3.0 6.7 22.4 1.9 10.0 1.1 2.6 5.5 2.9 6.3 2.1 7.5 3.5 2.449764355336246e-08 2.3
15 6 2.90 0.48 82.9 0.7 8.0 7.3 2.8 7.7 8.8 6.3 6.7 7.8 4.1 2.0 1.7 6.0 1.8 6.2 3.0 2.4479521543733035e-08 1.2
15 8 3.46 0.45 77.7 3.6 2.9 2.3 5.3 9.0 7.8 5.6 8.3 5.7 6.5 7.1 4.1 3.1 1.7 3.6 1.1 2.4456869008614695e-08 0.6
15 9 2.64 0.47 76.2 1.4 2.6 1.9 2.4 3.6 4.3 4.9 6.7 7.8 5.9 7.9 6.0 5.3 4.8 4.0 2.7 2.449298907482872e-08 0.9
15 12 2.69 0.44 75.0 3.5 4.2 4.0 4.3 3.9 5.2 5.1 5.3 5.2 4.7 4.8 5.2 4.5 4.5 4.1 3.5 2.4486391495428053e-08 0.6
15 15 3.22 0.4 73.9 4.7 4.7 5.1 4.4 4.6 4.6 4.6 4.6 4.8 4.7 4.7 5.0 4.6 4.6 4.7 4.5 2.448258049566632e-08 0.5
