rps,cpu_limit,req_rate,req_latency,cpu,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,memory_usage
1.0,3.0,1.0,45.4,6.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,627.3
3.0,3.0,3.0,43.4,23.2,1.5,1.4,1.4,1.5,1.5,1.5,1.4,1.5,1.4,1.4,1.5,1.5,1.4,1.4,1.5,1.4,553.4
5.0,3.0,5.0,42.7,32.8,2.1,2.1,2.0,2.0,2.0,2.0,2.1,2.1,2.1,2.1,2.1,2.0,2.1,2.0,2.0,2.0,562.3
7.0,3.0,7.0,42.2,51.0,3.2,3.2,3.1,3.2,3.1,3.2,3.2,3.2,3.2,3.1,3.2,3.2,3.2,3.2,3.3,3.2,562.1
10.0,3.0,10.0,41.3,71.1,4.6,4.5,4.6,4.5,4.4,4.6,4.4,4.4,4.5,4.4,4.2,4.4,4.4,4.4,4.4,4.4,564.9
12.0,3.0,12.0,42.9,84.2,5.5,5.4,5.3,5.3,5.3,5.3,5.3,5.3,5.1,5.2,5.2,5.4,5.1,5.3,5.1,5.1,568.4
15.0,3.0,15.0,94.4,98.3,6.3,6.1,6.2,6.2,6.2,6.0,6.2,6.1,6.1,6.2,6.1,6.2,6.1,6.1,6.0,6.2,633.2
1.0,3.5,1.0,43.2,5.5,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,623.0
3.0,3.5,3.0,42.5,19.4,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.3,1.2,1.2,1.2,1.2,1.1,1.3,1.2,1.2,546.5
5.0,3.5,5.0,43.5,35.1,2.2,2.2,2.2,2.2,2.3,2.2,2.1,2.2,2.1,2.2,2.2,2.2,2.2,2.2,2.2,2.2,550.4
7.0,3.5,7.0,42.5,43.8,2.7,2.7,2.7,2.8,2.7,2.8,2.8,2.7,2.7,2.8,2.7,2.7,2.8,2.8,2.7,2.7,550.6
10.0,3.5,10.0,41.4,61.4,3.8,3.9,3.9,3.8,3.8,3.8,3.9,3.9,3.8,3.9,3.8,3.9,3.8,3.9,3.8,3.7,552.6
12.0,3.5,12.0,40.8,72.6,4.8,4.4,4.6,4.5,4.6,4.6,4.5,4.6,4.7,4.4,4.4,4.4,4.5,4.5,4.5,4.6,553.2
15.0,3.5,15.0,40.4,88.5,5.5,5.6,5.5,5.6,5.5,5.5,5.5,5.4,5.7,5.5,5.3,5.5,5.7,5.6,5.6,5.5,558.6
18.0,3.5,18.0,63.3,99.4,6.2,6.2,6.2,6.3,6.2,6.1,6.2,6.3,6.3,6.3,6.1,6.1,6.3,6.1,6.2,6.3,629.4
1.0,4.0,1.0,44.3,4.9,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,620.8
3.0,4.0,3.0,43.4,16.8,1.1,1.1,1.1,1.1,1.0,1.0,1.0,1.1,1.0,1.1,1.0,1.0,1.0,1.0,1.1,1.1,551.9
5.0,4.0,5.0,42.4,26.0,1.6,1.7,1.7,1.6,1.6,1.6,1.5,1.6,1.7,1.6,1.7,1.7,1.6,1.6,1.6,1.6,557.8
7.0,4.0,7.0,42.1,38.5,2.4,2.5,2.4,2.4,2.4,2.3,2.4,2.5,2.5,2.4,2.3,2.4,2.4,2.3,2.4,2.5,556.2
10.0,4.0,10.0,41.4,53.1,3.3,3.3,3.2,3.3,3.3,3.3,3.4,3.4,3.4,3.3,3.4,3.4,3.2,3.3,3.3,3.3,560.8
12.0,4.0,12.0,40.8,62.6,3.9,3.9,3.9,4.0,3.9,3.9,3.9,3.8,4.0,3.9,3.9,4.0,3.9,3.9,3.9,3.9,559.9
15.0,4.0,15.0,39.5,75.7,4.8,4.8,4.7,4.9,4.7,4.7,4.7,4.7,4.8,4.7,4.7,4.6,4.8,4.7,4.7,4.7,563.1
18.0,4.0,18.0,39.5,90.5,5.7,5.7,5.6,5.6,5.7,5.7,5.7,5.6,5.7,5.7,5.7,5.6,5.7,5.6,5.6,5.6,564.9
20.0,4.0,20.0,46.5,98.1,6.2,6.2,6.0,6.2,6.1,6.1,6.1,6.1,6.1,6.2,6.0,6.1,6.2,6.2,6.1,6.2,606.0
22.0,4.0,22.0,78.0,99.3,6.2,6.2,6.1,6.1,6.3,6.3,6.2,6.2,6.2,6.1,6.2,6.2,6.3,6.2,6.3,6.2,661.6
1.0,4.5,1.0,45.4,4.5,0.3,0.0,0.0,0.1,0.4,0.4,0.3,0.4,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.3,623.6
7.0,4.5,7.0,42.2,33.9,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.1,2.1,2.1,2.2,2.1,2.2,2.1,2.1,2.0,554.4
10.0,4.5,10.0,41.0,47.4,3.0,3.0,2.9,3.0,2.9,2.9,2.9,3.0,2.9,3.0,3.0,3.0,2.9,3.1,3.0,2.9,556.0
12.0,4.5,12.0,40.4,55.7,3.5,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.6,3.5,3.5,3.5,3.4,555.8
15.0,4.5,15.0,39.7,69.0,4.2,4.4,4.2,4.4,4.4,4.3,4.3,4.4,4.5,4.3,4.3,4.3,4.3,4.3,4.2,4.2,558.6
18.0,4.5,18.0,38.2,79.7,5.1,4.9,4.9,4.9,5.0,5.1,5.0,5.1,5.0,5.1,4.9,4.9,4.9,4.9,5.1,4.9,562.1
20.0,4.5,20.0,37.1,87.1,5.4,5.5,5.4,5.4,5.4,5.6,5.5,5.4,5.4,5.4,5.4,5.4,5.5,5.4,5.5,5.5,563.8
22.0,4.5,22.0,38.7,96.1,6.0,6.1,6.1,6.0,6.0,6.0,5.9,5.9,6.0,6.0,6.0,6.0,6.0,5.9,6.1,6.1,567.2
25.0,4.5,25.0,61.3,98.8,6.1,6.2,6.3,6.1,6.2,6.2,6.2,6.2,6.1,6.1,6.1,6.3,6.2,6.2,6.2,6.1,651.8
1.0,5.0,1.0,44.7,4.0,0.0,0.3,0.0,0.3,0.0,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,627.6
3.0,5.0,3.0,43.6,13.4,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.8,0.9,0.8,0.8,0.8,569.2
5.0,5.0,5.0,43.3,25.1,1.5,1.5,1.5,1.7,1.6,1.5,1.6,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.6,571.3
7.0,5.0,7.0,42.2,30.8,1.9,1.9,1.9,2.0,2.0,1.9,1.9,1.9,2.0,1.9,2.0,1.9,1.9,1.9,1.9,1.9,571.4
10.0,5.0,10.0,41.5,42.9,2.6,2.7,2.7,2.6,2.6,2.8,2.8,2.7,2.7,2.7,2.8,2.7,2.6,2.7,2.6,2.6,571.3
12.0,5.0,12.0,40.6,49.9,3.1,3.2,3.1,3.2,3.1,3.2,3.2,3.0,3.1,3.1,3.0,3.1,3.2,3.2,3.0,3.1,573.9
