rps cpu_limit req_rate req_latency cpu cpu0 cpu1 cpu2 cpu3 cpu4 cpu5 cpu6 cpu7 cpu8 cpu9 cpu10 cpu11 cpu12 cpu13 cpu14 cpu15 memory_usage 
1 3000m 1.017276330404083 45.416666666666664 6.800000000000001 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.5 0.5 0.5 0.5 0.4 0.4 0.4 627.31855033557
3 3000m 3.017942180925341 43.41111111111111 23.199999999999996 1.5 1.4 1.4 1.5 1.5 1.5 1.4 1.5 1.4 1.4 1.5 1.5 1.4 1.4 1.5 1.4 553.3997427114092
5 3000m 5.018886052191263 42.66891891891892 32.800000000000004 2.1 2.1 2.0 2.0 2.0 2.0 2.1 2.1 2.1 2.1 2.1 2.0 2.1 2.0 2.0 2.0 562.309388929292
7 3000m 7.0194646182035205 42.18028846153846 51.00000000000001 3.2 3.2 3.1 3.2 3.1 3.2 3.2 3.2 3.2 3.1 3.2 3.2 3.2 3.2 3.3 3.2 562.0739298791949
10 3000m 10.020316046269706 41.32663316582914 71.10000000000001 4.6 4.5 4.6 4.5 4.4 4.6 4.4 4.4 4.5 4.4 4.2 4.4 4.4 4.4 4.4 4.4 564.871277959731
12 3000m 12.020874294339908 42.88218793828892 84.19999999999999 5.5 5.4 5.3 5.3 5.3 5.3 5.3 5.3 5.1 5.2 5.2 5.4 5.1 5.3 5.1 5.1 568.3500464966444
15 3000m 14.998634057787132 94.43288590604027 98.3 6.3 6.1 6.2 6.2 6.2 6.0 6.2 6.1 6.1 6.2 6.1 6.2 6.1 6.1 6.0 6.2 633.2233604295302
18 3000m 16.073141207074258 4773.431372549019 99.89999999999998 6.1 6.1 6.1 6.2 6.1 6.2 6.2 6.1 6.2 6.3 6.2 6.1 6.1 6.2 6.1 6.0 893.7111868011867
1 3500m 1.0174094183374018 43.21666666666667 5.499999999999998 0.3 0.4 0.4 0.4 0.4 0.4 0.5 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 622.9823020671142
3 3500m 3.018232867717198 42.53631284916201 19.399999999999995 1.2 1.2 1.2 1.2 1.2 1.3 1.2 1.3 1.2 1.2 1.2 1.2 1.1 1.3 1.2 1.2 546.5099270872488
5 3500m 5.0187798917577675 43.51013513513514 35.1 2.2 2.2 2.2 2.2 2.3 2.2 2.1 2.2 2.1 2.2 2.2 2.2 2.2 2.2 2.2 2.2 550.3586688859062
7 3500m 7.019659943097795 42.45301204819277 43.800000000000004 2.7 2.7 2.7 2.8 2.7 2.8 2.8 2.7 2.7 2.8 2.7 2.7 2.8 2.8 2.7 2.7 550.6352588456373
10 3500m 10.020691582251267 41.36833333333333 61.399999999999984 3.8 3.9 3.9 3.8 3.8 3.8 3.9 3.9 3.8 3.9 3.8 3.9 3.8 3.9 3.8 3.7 552.6473844832213
12 3500m 12.02244713640115 40.78661087866109 72.6 4.8 4.4 4.6 4.5 4.6 4.6 4.5 4.6 4.7 4.4 4.4 4.4 4.5 4.5 4.5 4.6 553.1621884563762
15 3500m 15.024472882225679 40.43826473859844 88.49999999999999 5.5 5.6 5.5 5.6 5.5 5.5 5.5 5.4 5.7 5.5 5.3 5.5 5.7 5.6 5.6 5.5 558.6286440805366
18 3500m 18.024706539584585 63.32551594746717 99.39999999999998 6.2 6.2 6.2 6.3 6.2 6.1 6.2 6.3 6.3 6.3 6.1 6.1 6.3 6.1 6.2 6.3 629.4056685100676
20 3500m 19.061778331268258 2196.385328836425 99.60000000000001 6.3 6.2 6.1 6.2 6.2 6.1 6.2 6.2 6.2 6.1 6.1 6.0 6.2 6.2 6.2 6.1 822.6301317316301
1 4000m 1.017428246138956 44.266666666666666 4.899999999999999 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.4 0.3 0.3 0.3 0.3 0.3 620.8065288590602
3 4000m 3.018085605842622 43.36312849162011 16.8 1.1 1.1 1.1 1.1 1.0 1.0 1.0 1.1 1.0 1.1 1.0 1.0 1.0 1.0 1.1 1.1 551.9471019528617
5 4000m 5.01864709284033 42.416666666666664 26.000000000000004 1.6 1.7 1.7 1.6 1.6 1.6 1.5 1.6 1.7 1.6 1.7 1.7 1.6 1.6 1.6 1.6 557.7500306531989
7 4000m 7.020430368937313 42.11807228915663 38.49999999999999 2.4 2.5 2.4 2.4 2.4 2.3 2.4 2.5 2.5 2.4 2.3 2.4 2.4 2.3 2.4 2.5 556.2087899797979
10 4000m 10.020884384416027 41.37080536912752 53.09999999999999 3.3 3.3 3.2 3.3 3.3 3.3 3.4 3.4 3.4 3.3 3.4 3.4 3.2 3.3 3.3 3.3 560.8377213422822
12 4000m 12.022646388963151 40.78181818181818 62.59999999999999 3.9 3.9 3.9 4.0 3.9 3.9 3.9 3.8 4.0 3.9 3.9 4.0 3.9 3.9 3.9 3.9 559.9168498255037
15 4000m 15.024129649884252 39.549217002237135 75.70000000000002 4.8 4.8 4.7 4.9 4.7 4.7 4.7 4.7 4.8 4.7 4.7 4.6 4.8 4.7 4.7 4.7 563.0504615218857
18 4000m 18.026636096296215 39.482726423902896 90.5 5.7 5.7 5.6 5.6 5.7 5.7 5.7 5.6 5.7 5.7 5.7 5.6 5.7 5.6 5.6 5.6 564.9180795704701
20 4000m 20.027990963061136 46.48774302620456 98.10000000000001 6.2 6.2 6.0 6.2 6.1 6.1 6.1 6.1 6.1 6.2 6.0 6.1 6.2 6.2 6.1 6.2 606.0049593557046
22 4000m 22.024942100891934 77.99618029029794 99.30000000000001 6.2 6.2 6.1 6.1 6.3 6.3 6.2 6.2 6.2 6.1 6.2 6.2 6.3 6.2 6.3 6.2 661.6073896375833
25 4000m 22.22156721137154 4693.308209959623 99.59999999999998 6.2 6.2 6.2 6.2 6.1 6.4 6.1 6.1 6.1 6.2 6.1 6.1 6.1 6.1 6.1 6.3 936.9703068486643
1 4500m 1.0173430612232994 45.4 4.499999999999999 0.3 0.0 0.0 0.1 0.4 0.4 0.3 0.4 0.3 0.4 0.3 0.3 0.4 0.3 0.3 0.3 623.5819262281885
7 4500m 7.020028271930973 42.19711538461539 33.900000000000006 2.1 2.1 2.1 2.1 2.1 2.2 2.2 2.1 2.1 2.1 2.2 2.1 2.2 2.1 2.1 2.0 554.3771194612796
10 4500m 10.020494598462113 41.030252100840336 47.4 3.0 3.0 2.9 3.0 2.9 2.9 2.9 3.0 2.9 3.0 3.0 3.0 2.9 3.1 3.0 2.9 555.9953559194628
12 4500m 12.021792649156422 40.43539325842696 55.699999999999996 3.5 3.4 3.4 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.4 3.6 3.5 3.5 3.5 3.4 555.8416184697988
15 4500m 15.0209580731571 39.72147651006711 68.99999999999999 4.2 4.4 4.2 4.4 4.4 4.3 4.3 4.4 4.5 4.3 4.3 4.3 4.3 4.3 4.2 4.2 558.565967033557
18 4500m 18.025033705543542 38.16884328358209 79.7 5.1 4.9 4.9 4.9 5.0 5.1 5.0 5.1 5.0 5.1 4.9 4.9 4.9 4.9 5.1 4.9 562.0554841342282
20 4500m 20.028098027145244 37.05130361648444 87.10000000000001 5.4 5.5 5.4 5.4 5.4 5.6 5.5 5.4 5.4 5.4 5.4 5.4 5.5 5.4 5.5 5.5 563.7884495033552
22 4500m 22.021669260436436 38.71808510638298 96.1 6.0 6.1 6.1 6.0 6.0 6.0 5.9 5.9 6.0 6.0 6.0 6.0 6.0 5.9 6.1 6.1 567.2253921073827
25 4500m 25.012882750628066 61.34326337169939 98.80000000000001 6.1 6.2 6.3 6.1 6.2 6.2 6.2 6.2 6.1 6.1 6.1 6.3 6.2 6.2 6.2 6.1 651.7915318120807
27 4500m 25.310492131411614 2613.6631513647644 99.89999999999999 6.3 6.2 6.2 6.3 6.4 6.3 6.3 6.3 6.2 6.2 6.3 6.2 6.1 6.1 6.3 6.2 878.1571799748432
1 5000m 1.0173379413585981 44.71666666666667 3.999999999999999 0.0 0.3 0.0 0.3 0.0 0.2 0.3 0.3 0.3 0.3 0.3 0.3 0.4 0.4 0.3 0.3 627.6098336644295
3 5000m 3.0178143833936635 43.64804469273743 13.400000000000004 0.9 0.9 0.8 0.8 0.8 0.8 0.8 0.8 0.9 0.9 0.9 0.8 0.9 0.8 0.8 0.8 569.1902276094273
5 5000m 5.01891466116795 43.282828282828284 25.10000000000001 1.5 1.5 1.5 1.7 1.6 1.5 1.6 1.6 1.6 1.5 1.5 1.6 1.6 1.6 1.6 1.6 571.3229590335575
